adId,Price,Type,days_since,Parking,Lease_term,moving_date,pets_allowed_apt,size (sq.ft.),furnished_apt,AC,apt_size,Title_length,postal_code,longitude,latitude,District,desc_len
1569847748,1900,apartment,1,1.0, '1 an',july,1.0,1050.0,1,1.0,na,59,H4G 2R2,-73.5798,45.4644,Verdun North,2246
1569842303,2300,apartment,1,1.0, '1 an',july,1.0,990.0,0,1.0,4 1/2,31,H2V 3A3,-73.6153,45.5298,Outremont,208
1569847310,1245,apartment,1,0.0, '1 an',july,0.0,9999.0,0,0.0,na,51,H2R2G1,-73.6266,45.5452,Villeray Southeast,417
1569846985,895,apartment,1,0.0, '1 an',june,0.0,650.0,0,0.0,na,44,H1X 1Z1,-73.5935,45.5577,Rosemont Central,1149
1569846900,1650,apartment,1,1.0, '1 an',june,0.0,1300.0,0,0.0,na,36,H1H 4A7,-73.6524,45.5829,Montreal North South,882
1569846810,800,apartment,1,0.0, '1 an',july,0.0,300.0,0,0.0,2 1/2,45,H2S 2G1,-73.6144,45.5356,Petite-Patrie Southwest,433
1569846728,1800,Room,1,2.0,,na,0.0,,0,0.0,na,62,H1W1K3,-73.5616,45.5423,Hochelaga,255
1569846669,1025,apartment,1,0.0, '1 an',june,1.0,750.0,0,0.0,3 1/2,37,H1Y 2P6,-73.598,45.5525,Rosemont South,740
1569846072,1495,apartment,1,0.0, '1 an',june,1.0,,0,1.0,3 1/2,61,H4C 1W6,-73.5922,45.478,Saint-Henri,1134
1112618148,1150,apartment,1,0.0, '1 an',may,1.0,1150.0,0,0.0,na,52,,-1.0,-1.0,-1,853
1569846097,725,apartment,1,0.0, '1 an',july,0.0,700.0,0,0.0,na,31,H1W1C7,-73.5616,45.5423,Hochelaga,731
1569846098,1350,apartment,1,0.0, '1 an',july,1.0,554.0,0,0.0,na,41,H2L 3G9,-73.5744,45.5252,Centre-Sud South,349
1569846080,575,Room,1,,,na,0.0,,0,0.0,na,58,H9X 2C1,-73.9515,45.418,Sainte-Anne-De- Bellevue,2388
1331418142,1000,apartment,1,, 'Non disponible',na,0.0,,0,0.0,na,36,H4W 1P5,-73.6704,45.478,Côte-Saint-Luc West,748
1568626014,1350,apartment,8,, 'Non disponible',na,,,0,0.0,na,36,H3H 1C3,-73.5967,45.5123,Downtown Montreal South & West,3906
1505844985,1100,apartment,2,0.0, '1 an',na,0.0,,0,,na,29,H8Y 3B9,-73.8162,45.5145,Roxboro,281
1567456005,1400,apartment,15,0.0, '1 an',june,0.0,1100.0,0,0.0,na,64,H8R 3C7,-73.6557,45.4473,Saint-Pierre,1405
1567437820,1875,apartment,2,1.0, '1 an',june,0.0,1250.0,0,1.0,na,64,H1N 2T3,-73.5499,45.5719,Mercier Southeast,768
1568843027,795,apartment,6,0.0, '1 an',june,0.0,10.0,0,0.0,4 1/2,34,H1H4B6,-73.6524,45.5829,Montreal North South,382
1569845868,1050,apartment,1,1.0, '1 an',july,1.0,700.0,0,0.0,na,64,H3W 2T7,-73.6442,45.4988,Côte-des-Neiges Southwest,1543
1536474527,550,apartment,1,0.0, '1 an',december,0.0,400.0,0,0.0,2 1/2,60,H2R 2P7,-73.6266,45.5452,Villeray Southeast,772
1569581241,1524,apartment,1,0.0, '1 an',june,1.0,650.0,0,1.0,na,50,H2X 1W7,-73.5739,45.5148,Plateau Mont-Royal Southeast,1299
1569845722,1375,apartment,1,0.0, '1 an',july,0.0,600.0,0,1.0,condo,60,H3H 0A2,-73.5967,45.5123,Downtown Montreal South & West,951
