,Price,longitude,latitude,geometry
946,1550.0,-73.9012,45.5141,POINT (-73.9012 45.5141)
947,3100.0,-73.5885,45.4909,POINT (-73.5885 45.4909)
948,995.0,-73.7231,45.5353,POINT (-73.7231 45.5353)
949,1495.0,-73.5928,45.5289,POINT (-73.5928 45.5289)
950,1475.0,-73.6464,45.5335,POINT (-73.6464 45.5335)
951,1128.0,-73.6252,45.4781,POINT (-73.62520000000001 45.4781)
952,1250.0,-73.551,45.5702,POINT (-73.551 45.5702)
953,899.0,-73.5457,45.4679,POINT (-73.5457 45.4679)
954,500.0,-73.6515,45.55,POINT (-73.6515 45.55)
955,380.0,-73.5616,45.5423,POINT (-73.5616 45.5423)
956,2500.0,-73.5679,45.503,POINT (-73.56789999999999 45.503)
957,1200.0,-73.6266,45.5452,POINT (-73.6266 45.5452)
958,925.0,-73.6061,45.5434,POINT (-73.6061 45.5434)
959,1250.0,-73.6118,45.5583,POINT (-73.6118 45.5583)
960,833.0,-73.5672,45.53,POINT (-73.5672 45.53)
961,1750.0,-73.5935,45.5577,POINT (-73.59350000000001 45.5577)
962,1450.0,-73.6515,45.55,POINT (-73.6515 45.55)
963,1250.0,-73.5672,45.53,POINT (-73.5672 45.53)
964,915.0,-73.6389,45.6061,POINT (-73.63890000000001 45.6061)
965,425.0,-73.5499,45.5719,POINT (-73.54989999999999 45.5719)
966,1025.0,-73.5616,45.5423,POINT (-73.5616 45.5423)
967,710.0,-73.551,45.5702,POINT (-73.551 45.5702)
968,995.0,-73.5616,45.5423,POINT (-73.5616 45.5423)
969,965.0,-73.6061,45.5434,POINT (-73.6061 45.5434)
970,1320.0,-73.5739,45.5148,POINT (-73.57389999999999 45.5148)
971,1650.0,-73.5616,45.5423,POINT (-73.5616 45.5423)
972,995.0,-73.6061,45.5434,POINT (-73.6061 45.5434)
973,1695.0,-73.6144,45.5356,POINT (-73.6144 45.5356)
974,985.0,-73.6483,45.4915,POINT (-73.64830000000001 45.4915)
975,1025.0,-73.6722,45.4991,POINT (-73.6722 45.4991)
976,1350.0,-73.6545,45.5181,POINT (-73.6545 45.5181)
977,1900.0,-73.6545,45.5181,POINT (-73.6545 45.5181)
978,795.0,-73.5885,45.4909,POINT (-73.5885 45.4909)
979,2150.0,-73.6252,45.4781,POINT (-73.62520000000001 45.4781)
980,1675.0,-73.564,45.4858,POINT (-73.56399999999999 45.4858)
981,1320.0,-73.5739,45.5148,POINT (-73.57389999999999 45.5148)
982,1350.0,-73.6118,45.5583,POINT (-73.6118 45.5583)
983,1500.0,-73.6256,45.5522,POINT (-73.62560000000001 45.5522)
984,1750.0,-73.5928,45.5289,POINT (-73.5928 45.5289)
985,500.0,-73.5672,45.53,POINT (-73.5672 45.53)
986,2300.0,-73.6442,45.4988,POINT (-73.6442 45.4988)
987,1995.0,-73.5853,45.5019,POINT (-73.5853 45.5019)
988,4500.0,-73.653,45.5209,POINT (-73.65300000000001 45.5209)
989,2530.0,-73.7309,45.5148,POINT (-73.73090000000001 45.5148)
990,1810.0,-73.5935,45.5577,POINT (-73.59350000000001 45.5577)
991,1650.0,-73.5922,45.478,POINT (-73.59220000000001 45.478)
992,925.0,-73.5818,45.4532,POINT (-73.5818 45.4532)
993,1320.0,-73.5739,45.5148,POINT (-73.57389999999999 45.5148)
994,1290.0,-73.6252,45.4781,POINT (-73.62520000000001 45.4781)
995,2530.0,-73.7309,45.5148,POINT (-73.73090000000001 45.5148)
996,4000.0,-73.7733,45.4409,POINT (-73.77330000000001 45.4409)
997,895.0,-73.6256,45.5522,POINT (-73.62560000000001 45.5522)
998,1150.0,-73.6483,45.4915,POINT (-73.64830000000001 45.4915)
999,1300.0,-73.6442,45.4988,POINT (-73.6442 45.4988)
1000,525.0,-73.6266,45.5452,POINT (-73.6266 45.5452)
1001,530.0,-73.6515,45.55,POINT (-73.6515 45.55)
1002,1000.0,-73.6515,45.55,POINT (-73.6515 45.55)
1003,1630.0,-73.6252,45.4781,POINT (-73.62520000000001 45.4781)
1004,1350.0,-73.5616,45.5423,POINT (-73.5616 45.5423)
1005,2100.0,-73.5725,45.4922,POINT (-73.57250000000001 45.4922)
1006,1595.0,-73.5922,45.478,POINT (-73.59220000000001 45.478)
1007,450.0,-73.6144,45.5356,POINT (-73.6144 45.5356)
1008,1190.0,-73.5672,45.53,POINT (-73.5672 45.53)
1009,950.0,-73.5362,45.5943,POINT (-73.53619999999999 45.5943)
1010,1500.0,-73.5928,45.5289,POINT (-73.5928 45.5289)
1011,850.0,-73.6061,45.5434,POINT (-73.6061 45.5434)
1012,1100.0,-73.6266,45.5452,POINT (-73.6266 45.5452)
1013,500.0,,,POINT (nan nan)
1014,755.0,-73.6754,45.5529,POINT (-73.6754 45.5529)
1015,1190.0,-73.6266,45.5452,POINT (-73.6266 45.5452)
1016,1900.0,-73.5798,45.4644,POINT (-73.57980000000001 45.4644)
1017,2300.0,-73.6153,45.5298,POINT (-73.6153 45.5298)
1018,1245.0,-73.6266,45.5452,POINT (-73.6266 45.5452)
1019,895.0,-73.5935,45.5577,POINT (-73.59350000000001 45.5577)
1020,1650.0,-73.6524,45.5829,POINT (-73.6524 45.5829)
1021,800.0,-73.6144,45.5356,POINT (-73.6144 45.5356)
1022,1800.0,-73.5616,45.5423,POINT (-73.5616 45.5423)
1023,1025.0,-73.598,45.5525,POINT (-73.598 45.5525)
1024,1495.0,-73.5922,45.478,POINT (-73.59220000000001 45.478)
1025,1150.0,,,POINT (nan nan)
1026,725.0,-73.5616,45.5423,POINT (-73.5616 45.5423)
1027,1350.0,-73.5744,45.5252,POINT (-73.5744 45.5252)
1028,575.0,-73.9515,45.418,POINT (-73.9515 45.418)
1029,1000.0,-73.6704,45.478,POINT (-73.6704 45.478)
1030,1350.0,-73.5967,45.5123,POINT (-73.5967 45.5123)
1031,1100.0,-73.8162,45.5145,POINT (-73.81619999999999 45.5145)
1032,1400.0,-73.6557,45.4473,POINT (-73.6557 45.4473)
1033,1875.0,-73.5499,45.5719,POINT (-73.54989999999999 45.5719)
1034,795.0,-73.6524,45.5829,POINT (-73.6524 45.5829)
1035,1050.0,-73.6442,45.4988,POINT (-73.6442 45.4988)
1036,550.0,-73.6266,45.5452,POINT (-73.6266 45.5452)
1037,1524.0,-73.5739,45.5148,POINT (-73.57389999999999 45.5148)
1038,1375.0,-73.5967,45.5123,POINT (-73.5967 45.5123)
1039,850.0,-73.6292,45.5155,POINT (-73.6292 45.5155)
1040,700.0,,,POINT (nan nan)
1041,800.0,-73.5739,45.5148,POINT (-73.57389999999999 45.5148)
1042,1100.0,-73.6266,45.5452,POINT (-73.6266 45.5452)
1043,1150.0,-73.5863,45.468,POINT (-73.58629999999999 45.468)
1044,1450.0,-73.7309,45.5148,POINT (-73.73090000000001 45.5148)
1045,495.0,,,POINT (nan nan)
1046,1199.0,-73.5798,45.4644,POINT (-73.57980000000001 45.4644)
1047,1399.0,-73.6061,45.5434,POINT (-73.6061 45.5434)
1048,1500.0,-73.5744,45.5252,POINT (-73.5744 45.5252)
1049,600.0,,,POINT (nan nan)
1050,880.0,-73.6256,45.5522,POINT (-73.62560000000001 45.5522)
1051,1200.0,-73.6266,45.5452,POINT (-73.6266 45.5452)
1052,1550.0,-73.5559,45.5902,POINT (-73.55589999999999 45.5902)
1053,1290.0,-73.5967,45.5123,POINT (-73.5967 45.5123)
1054,550.0,-73.5839,45.5194,POINT (-73.5839 45.5194)
1055,350.0,-73.7733,45.4409,POINT (-73.77330000000001 45.4409)
1056,2895.0,-73.5922,45.478,POINT (-73.59220000000001 45.478)
1057,1475.0,-73.6024,45.5278,POINT (-73.6024 45.5278)
1058,700.0,,,POINT (nan nan)
1059,850.0,-73.7494,45.3944,POINT (-73.74939999999999 45.3944)
1060,1500.0,-73.5798,45.4644,POINT (-73.57980000000001 45.4644)
1061,950.0,-73.7231,45.5353,POINT (-73.7231 45.5353)
1062,1500.0,-73.5744,45.5252,POINT (-73.5744 45.5252)
1063,590.0,-73.7231,45.5353,POINT (-73.7231 45.5353)
1064,1300.0,-73.5672,45.53,POINT (-73.5672 45.53)
1065,1350.0,-73.6144,45.5356,POINT (-73.6144 45.5356)
1066,1445.0,-73.6754,45.5529,POINT (-73.6754 45.5529)
1067,1690.0,-73.6515,45.55,POINT (-73.6515 45.55)
1068,1599.0,-73.5679,45.503,POINT (-73.56789999999999 45.503)
1069,2000.0,-73.5744,45.5252,POINT (-73.5744 45.5252)
1070,1500.0,-73.6084,45.4551,POINT (-73.6084 45.4551)
1071,940.0,-73.636,45.4681,POINT (-73.636 45.4681)
1072,950.0,-73.5967,45.5123,POINT (-73.5967 45.5123)
1073,2150.0,-73.5725,45.4922,POINT (-73.57250000000001 45.4922)
1074,630.0,-73.551,45.5702,POINT (-73.551 45.5702)
1075,1190.0,-73.5935,45.5577,POINT (-73.59350000000001 45.5577)
1076,1500.0,-73.6084,45.4551,POINT (-73.6084 45.4551)
1077,400.0,-73.6292,45.5155,POINT (-73.6292 45.5155)
1078,1450.0,-73.5839,45.5194,POINT (-73.5839 45.5194)
1079,495.0,,,POINT (nan nan)
1080,500.0,-73.616,45.5115,POINT (-73.616 45.5115)
